titles,years,descriptions,genres
Toy Story 3,2010,"    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation, Adventure, Comedy            "
Iron Man 2,2010,"    With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","Action, Adventure, Sci-Fi            "
Black Swan,2010,"    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller            "
How to Train Your Dragon,2010,"    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure            "
The King's Speech,2010,"    The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History            "
The Social Network,2010,"    As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","Biography, Drama            "
Kick-Ass,2010,"    Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","Action, Comedy, Crime            "
Despicable Me,2010,"    When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","Animation, Comedy, Family            "
Harry Potter and the Deathly Hallows: Part 1,2010,"    As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","Adventure, Family, Fantasy            "
Tangled,2010,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Animation, Adventure, Comedy            "
Alice in Wonderland,2010,"    Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","Adventure, Family, Fantasy            "
Scott Pilgrim vs. the World,2010,    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"Action, Comedy, Fantasy            "
Easy A,2010,    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,"Comedy, Drama, Romance            "
The Town,2010,"    A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down.","Crime, Drama, Thriller            "
127 Hours,2010,"    A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","Biography, Drama            "
The Fighter,2010,"    Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Biography, Drama, Sport            "
The Expendables,2010,    A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"Action, Adventure, Thriller            "
Due Date,2010,    High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,"Comedy, Drama            "
TRON: Legacy,2010,    The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,"Action, Adventure, Sci-Fi            "
True Grit,2010,    A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"Drama, Western            "
Salt,2010,    A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"Action, Mystery, Thriller            "
The Book of Eli,2010,"    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Action, Adventure, Drama            "
RED,2010,"    When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","Action, Comedy, Crime            "
Insidious,2010,    A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,"Horror, Mystery, Thriller            "
Prince of Persia: The Sands of Time,2010,    A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"Action, Adventure, Fantasy            "
Clash of the Titans,2010,"    Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.","Action, Adventure, Fantasy            "
Robin Hood,2010,"    In twelfth century England, Robin Longstride (Russell Crowe) and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Action, Adventure, Drama            "
The A-Team,2010,"    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Action, Adventure, Thriller            "
The Other Guys,2010,"    Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","Action, Comedy, Crime            "
Grown Ups,2010,"    After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Comedy            
The Twilight Saga: Eclipse,2010,"    As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.","Adventure, Drama, Fantasy            "
Megamind,2010,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.","Animation, Action, Comedy            "
The Tourist,2010,"    Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","Action, Adventure, Crime            "
Spartacus,2010,"    The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Action, Adventure, Biography            "
Predators,2010,    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"Action, Adventure, Sci-Fi            "
Machete,2010,"    After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","Action, Crime, Thriller            "
Unstoppable,2010,"    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.","Action, Thriller            "
Blue Valentine,2010,"    The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","Drama, Romance            "
Shrek Forever After,2010,    Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,"Animation, Adventure, Comedy            "
The Next Three Days,2010,    A married couple's life is turned upside down when the wife is accused of a murder.,"Action, Crime, Drama            "
Knight and Day,2010,    A young woman gets mixed up with a disgraced spy who is trying to clear his name.,"Action, Adventure, Comedy            "
Love & Other Drugs,2010,"    In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","Comedy, Drama, Romance            "
Percy Jackson & the Olympians: The Lightning Thief,2010,    A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"Adventure, Family, Fantasy            "
Boardwalk Empire,2010,    An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime, Drama, History            "
Get Him to the Greek,2010,    A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,"Comedy, Music            "
Tucker and Dale vs Evil,2010,    Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,"Comedy, Horror            "
Inception,2010,    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Action, Adventure, Sci-Fi            "
Shutter Island,2010,"    In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery, Thriller            "
The Walking Dead,,    Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Drama, Horror, Thriller            "
Sherlock,2010,    A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Crime, Drama, Mystery            "
Toy Story 3,2010,"    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation, Adventure, Comedy            "
Iron Man 2,2010,"    With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","Action, Adventure, Sci-Fi            "
Black Swan,2010,"    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller            "
How to Train Your Dragon,2010,"    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure            "
The King's Speech,2010,"    The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History            "
The Social Network,2010,"    As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","Biography, Drama            "
Kick-Ass,2010,"    Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","Action, Comedy, Crime            "
Despicable Me,2010,"    When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","Animation, Comedy, Family            "
Harry Potter and the Deathly Hallows: Part 1,2010,"    As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","Adventure, Family, Fantasy            "
Tangled,2010,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Animation, Adventure, Comedy            "
Alice in Wonderland,2010,"    Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","Adventure, Family, Fantasy            "
Scott Pilgrim vs. the World,2010,    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"Action, Comedy, Fantasy            "
Easy A,2010,    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,"Comedy, Drama, Romance            "
The Town,2010,"    A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down.","Crime, Drama, Thriller            "
127 Hours,2010,"    A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","Biography, Drama            "
The Fighter,2010,"    Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Biography, Drama, Sport            "
The Expendables,2010,    A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"Action, Adventure, Thriller            "
Due Date,2010,    High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,"Comedy, Drama            "
TRON: Legacy,2010,    The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,"Action, Adventure, Sci-Fi            "
True Grit,2010,    A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"Drama, Western            "
Salt,2010,    A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"Action, Mystery, Thriller            "
The Book of Eli,2010,"    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Action, Adventure, Drama            "
RED,2010,"    When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","Action, Comedy, Crime            "
Insidious,2010,    A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,"Horror, Mystery, Thriller            "
Prince of Persia: The Sands of Time,2010,    A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"Action, Adventure, Fantasy            "
Clash of the Titans,2010,"    Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.","Action, Adventure, Fantasy            "
Robin Hood,2010,"    In twelfth century England, Robin Longstride (Russell Crowe) and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Action, Adventure, Drama            "
The A-Team,2010,"    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Action, Adventure, Thriller            "
The Other Guys,2010,"    Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","Action, Comedy, Crime            "
Grown Ups,2010,"    After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Comedy            
The Twilight Saga: Eclipse,2010,"    As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.","Adventure, Drama, Fantasy            "
Megamind,2010,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.","Animation, Action, Comedy            "
The Tourist,2010,"    Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","Action, Adventure, Crime            "
Spartacus,2010,"    The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Action, Adventure, Biography            "
Predators,2010,    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"Action, Adventure, Sci-Fi            "
Machete,2010,"    After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","Action, Crime, Thriller            "
Unstoppable,2010,"    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.","Action, Thriller            "
Blue Valentine,2010,"    The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","Drama, Romance            "
Shrek Forever After,2010,    Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,"Animation, Adventure, Comedy            "
The Next Three Days,2010,    A married couple's life is turned upside down when the wife is accused of a murder.,"Action, Crime, Drama            "
Knight and Day,2010,    A young woman gets mixed up with a disgraced spy who is trying to clear his name.,"Action, Adventure, Comedy            "
Love & Other Drugs,2010,"    In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","Comedy, Drama, Romance            "
Percy Jackson & the Olympians: The Lightning Thief,2010,    A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"Adventure, Family, Fantasy            "
Boardwalk Empire,2010,    An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime, Drama, History            "
Get Him to the Greek,2010,    A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,"Comedy, Music            "
Tucker and Dale vs Evil,2010,    Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,"Comedy, Horror            "
Inception,2010,    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Action, Adventure, Sci-Fi            "
Shutter Island,2010,"    In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery, Thriller            "
The Walking Dead,,    Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Drama, Horror, Thriller            "
Sherlock,2010,    A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Crime, Drama, Mystery            "
Toy Story 3,2010,"    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation, Adventure, Comedy            "
Iron Man 2,2010,"    With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","Action, Adventure, Sci-Fi            "
Black Swan,2010,"    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller            "
How to Train Your Dragon,2010,"    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure            "
The King's Speech,2010,"    The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History            "
The Social Network,2010,"    As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","Biography, Drama            "
Kick-Ass,2010,"    Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","Action, Comedy, Crime            "
Despicable Me,2010,"    When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","Animation, Comedy, Family            "
Harry Potter and the Deathly Hallows: Part 1,2010,"    As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","Adventure, Family, Fantasy            "
Tangled,2010,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Animation, Adventure, Comedy            "
Alice in Wonderland,2010,"    Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","Adventure, Family, Fantasy            "
Scott Pilgrim vs. the World,2010,    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"Action, Comedy, Fantasy            "
Easy A,2010,    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,"Comedy, Drama, Romance            "
The Town,2010,"    A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down.","Crime, Drama, Thriller            "
127 Hours,2010,"    A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","Biography, Drama            "
The Fighter,2010,"    Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Biography, Drama, Sport            "
The Expendables,2010,    A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"Action, Adventure, Thriller            "
Due Date,2010,    High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,"Comedy, Drama            "
TRON: Legacy,2010,    The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,"Action, Adventure, Sci-Fi            "
True Grit,2010,    A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"Drama, Western            "
Salt,2010,    A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"Action, Mystery, Thriller            "
The Book of Eli,2010,"    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Action, Adventure, Drama            "
RED,2010,"    When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","Action, Comedy, Crime            "
Insidious,2010,    A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,"Horror, Mystery, Thriller            "
Prince of Persia: The Sands of Time,2010,    A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"Action, Adventure, Fantasy            "
Clash of the Titans,2010,"    Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.","Action, Adventure, Fantasy            "
Robin Hood,2010,"    In twelfth century England, Robin Longstride (Russell Crowe) and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Action, Adventure, Drama            "
The A-Team,2010,"    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Action, Adventure, Thriller            "
The Other Guys,2010,"    Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","Action, Comedy, Crime            "
Grown Ups,2010,"    After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Comedy            
The Twilight Saga: Eclipse,2010,"    As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.","Adventure, Drama, Fantasy            "
Megamind,2010,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.","Animation, Action, Comedy            "
The Tourist,2010,"    Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","Action, Adventure, Crime            "
Spartacus,2010,"    The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Action, Adventure, Biography            "
Predators,2010,    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"Action, Adventure, Sci-Fi            "
Machete,2010,"    After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","Action, Crime, Thriller            "
Unstoppable,2010,"    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.","Action, Thriller            "
Blue Valentine,2010,"    The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","Drama, Romance            "
Shrek Forever After,2010,    Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,"Animation, Adventure, Comedy            "
The Next Three Days,2010,    A married couple's life is turned upside down when the wife is accused of a murder.,"Action, Crime, Drama            "
Knight and Day,2010,    A young woman gets mixed up with a disgraced spy who is trying to clear his name.,"Action, Adventure, Comedy            "
Love & Other Drugs,2010,"    In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","Comedy, Drama, Romance            "
Percy Jackson & the Olympians: The Lightning Thief,2010,    A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"Adventure, Family, Fantasy            "
Boardwalk Empire,2010,    An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime, Drama, History            "
Get Him to the Greek,2010,    A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,"Comedy, Music            "
Tucker and Dale vs Evil,2010,    Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,"Comedy, Horror            "
Inception,2010,    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Action, Adventure, Sci-Fi            "
Shutter Island,2010,"    In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery, Thriller            "
The Walking Dead,,    Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Drama, Horror, Thriller            "
Sherlock,2010,    A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Crime, Drama, Mystery            "
Toy Story 3,2010,"    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation, Adventure, Comedy            "
Iron Man 2,2010,"    With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","Action, Adventure, Sci-Fi            "
Black Swan,2010,"    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller            "
How to Train Your Dragon,2010,"    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure            "
The King's Speech,2010,"    The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History            "
The Social Network,2010,"    As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","Biography, Drama            "
Kick-Ass,2010,"    Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","Action, Comedy, Crime            "
Despicable Me,2010,"    When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","Animation, Comedy, Family            "
Harry Potter and the Deathly Hallows: Part 1,2010,"    As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","Adventure, Family, Fantasy            "
Tangled,2010,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Animation, Adventure, Comedy            "
Alice in Wonderland,2010,"    Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","Adventure, Family, Fantasy            "
Scott Pilgrim vs. the World,2010,    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"Action, Comedy, Fantasy            "
Easy A,2010,    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,"Comedy, Drama, Romance            "
The Town,2010,"    A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down.","Crime, Drama, Thriller            "
127 Hours,2010,"    A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","Biography, Drama            "
The Fighter,2010,"    Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Biography, Drama, Sport            "
The Expendables,2010,    A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"Action, Adventure, Thriller            "
Due Date,2010,    High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,"Comedy, Drama            "
TRON: Legacy,2010,    The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,"Action, Adventure, Sci-Fi            "
True Grit,2010,    A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"Drama, Western            "
Salt,2010,    A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"Action, Mystery, Thriller            "
The Book of Eli,2010,"    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Action, Adventure, Drama            "
RED,2010,"    When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","Action, Comedy, Crime            "
Insidious,2010,    A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,"Horror, Mystery, Thriller            "
Prince of Persia: The Sands of Time,2010,    A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"Action, Adventure, Fantasy            "
Clash of the Titans,2010,"    Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.","Action, Adventure, Fantasy            "
Robin Hood,2010,"    In twelfth century England, Robin Longstride (Russell Crowe) and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Action, Adventure, Drama            "
